,,,
Number,Frequency/Hz,Re/Ohm,Im/Ohm
1,1.1307e+03,2.8883e+00,-2.6976e+00
2,1.4176e+03,2.3433e+00,-2.5651e+00
3,1.7774e+03,1.8671e+00,-2.3512e+00
4,2.2284e+03,1.4784e+00,-2.0913e+00
5,2.7940e+03,1.1717e+00,-1.8179e+00
6,3.5030e+03,9.3926e-01,-1.5546e+00
7,4.3920e+03,7.7078e-01,-1.3131e+00
8,5.5066e+03,6.4353e-01,-1.1017e+00
9,6.9041e+03,5.4978e-01,-9.2006e-01
10,8.6563e+03,4.7880e-01,-7.6495e-01
11,1.0853e+04,4.2533e-01,-6.3497e-01
12,1.3607e+04,3.8463e-01,-5.2649e-01
13,1.7061e+04,3.5279e-01,-4.3564e-01
14,2.1390e+04,3.2746e-01,-3.6090e-01
15,2.6819e+04,3.0739e-01,-2.9767e-01
16,3.3625e+04,2.8599e-01,-2.5064e-01
17,4.2159e+04,2.7204e-01,-2.0028e-01
18,5.2858e+04,2.7160e-01,-1.6732e-01
19,6.6272e+04,2.5511e-01,-1.2367e-01
20,8.3091e+04,2.4752e-01,-1.0008e-01
21,1.0418e+05,2.4287e-01,-8.1721e-02
22,1.3062e+05,2.3996e-01,-5.5118e-02
23,1.6377e+05,2.4086e-01,-3.3745e-02
24,2.0533e+05,2.3444e-01,-2.0577e-02
25,2.5743e+05,2.3259e-01,-8.6220e-03
26,3.2277e+05,2.3362e-01,8.8100e-03
27,4.0468e+05,2.4541e-01,3.1348e-02
28,5.0738e+05,2.3435e-01,4.9685e-02
29,6.3614e+05,2.3481e-01,7.2314e-02
30,7.9759e+05,2.4186e-01,9.8655e-02
31,1.0000e+06,2.4120e-01,1.0914e-01
32,7.9759e+05,2.4895e-01,9.9622e-02
33,6.3614e+05,2.4039e-01,6.7008e-02
34,5.0738e+05,2.4186e-01,5.5463e-02
35,4.0468e+05,2.3890e-01,2.5478e-02
36,3.2277e+05,2.3952e-01,8.7575e-03
37,2.5743e+05,2.4614e-01,-4.0443e-03
38,2.0533e+05,2.3673e-01,-1.5632e-02
39,1.6377e+05,2.3636e-01,-3.4277e-02
40,1.3062e+05,2.4665e-01,-5.2749e-02
41,1.0418e+05,2.4576e-01,-7.4450e-02
42,8.3091e+04,2.5188e-01,-1.1054e-01
43,6.6272e+04,2.6769e-01,-1.3254e-01
44,5.2858e+04,2.6993e-01,-1.6835e-01
45,4.2159e+04,2.8286e-01,-2.0600e-01
46,3.3625e+04,2.8364e-01,-2.4554e-01
47,2.6819e+04,3.0763e-01,-2.9799e-01
48,2.1390e+04,3.2830e-01,-3.6100e-01
49,1.7061e+04,3.5328e-01,-4.3673e-01
50,1.3607e+04,3.8544e-01,-5.2753e-01
51,1.0853e+04,4.2632e-01,-6.3591e-01
52,8.6563e+03,4.8022e-01,-7.6592e-01
53,6.9041e+03,5.5077e-01,-9.2091e-01
54,5.5066e+03,6.4499e-01,-1.1025e+00
55,4.3920e+03,7.7223e-01,-1.3147e+00
56,3.5030e+03,9.4161e-01,-1.5561e+00
57,2.7940e+03,1.1741e+00,-1.8195e+00
58,2.2284e+03,1.4820e+00,-2.0921e+00
59,1.7774e+03,1.8707e+00,-2.3524e+00
60,1.4176e+03,2.3479e+00,-2.5661e+00
61,1.1307e+03,2.8936e+00,-2.6984e+00
62,9.0179e+02,3.4690e+00,-2.7295e+00
63,7.1926e+02,4.0361e+00,-2.6460e+00
64,5.7367e+02,4.5491e+00,-2.4691e+00
65,4.5755e+02,4.9888e+00,-2.2218e+00
66,3.6494e+02,5.3355e+00,-1.9540e+00
67,2.9107e+02,5.6003e+00,-1.6869e+00
68,2.3215e+02,5.8034e+00,-1.4362e+00
69,1.8516e+02,5.9490e+00,-1.2151e+00
70,1.4768e+02,6.0580e+00,-1.0246e+00
71,1.1779e+02,6.1383e+00,-8.6650e-01
72,9.3947e+01,6.2011e+00,-7.3263e-01
73,7.4931e+01,6.2504e+00,-6.2449e-01
74,5.9538e+01,6.2881e+00,-5.4619e-01
75,4.6991e+01,6.3213e+00,-4.7313e-01
76,3.6825e+01,6.3521e+00,-4.1835e-01
77,2.8642e+01,6.3811e+00,-3.8173e-01
78,2.2099e+01,6.4102e+00,-3.5837e-01
79,1.6907e+01,6.4437e+00,-3.4674e-01
80,1.2819e+01,6.4834e+00,-3.5418e-01
81,9.6267e+00,6.5358e+00,-3.6728e-01
82,7.1569e+00,6.6019e+00,-3.7736e-01
83,5.2641e+00,6.6841e+00,-4.0503e-01
84,3.8284e+00,6.7808e+00,-4.1586e-01
85,2.7515e+00,6.8876e+00,-4.1212e-01
86,1.9531e+00,6.9877e+00,-3.9375e-01
87,1.3686e+00,7.0850e+00,-3.6660e-01
88,9.4639e-01,7.1737e+00,-3.3596e-01
89,6.4562e-01,7.2510e+00,-2.9365e-01
90,4.3451e-01,7.3172e+00,-2.5646e-01
91,2.8857e-01,7.3674e+00,-2.2524e-01
92,1.8924e-01,7.4085e+00,-2.0850e-01
93,1.2266e-01,7.4435e+00,-2.0245e-01
94,7.8703e-02,7.4699e+00,-2.1905e-01
95,5.0090e-02,7.5030e+00,-2.5726e-01
96,3.1698e-02,7.5438e+00,-3.2695e-01
97,2.0000e-02,7.5966e+00,-4.3917e-01
