,,,
Number,Frequency/Hz,Re/Ohm,Im/Ohm
1,1.1307e+03,2.6798e+00,-2.0970e+00
2,1.4176e+03,2.2336e+00,-2.0848e+00
3,1.7774e+03,1.8095e+00,-1.9899e+00
4,2.2284e+03,1.4373e+00,-1.8305e+00
5,2.7940e+03,1.1282e+00,-1.6332e+00
6,3.5030e+03,8.8472e-01,-1.4221e+00
7,4.3920e+03,7.0252e-01,-1.2167e+00
8,5.5066e+03,5.6503e-01,-1.0269e+00
9,6.9041e+03,4.6429e-01,-8.5993e-01
10,8.6563e+03,3.9002e-01,-7.1393e-01
11,1.0853e+04,3.3569e-01,-5.9062e-01
12,1.3607e+04,2.9543e-01,-4.8669e-01
13,1.7061e+04,2.6464e-01,-3.9989e-01
14,2.1390e+04,2.4261e-01,-3.2706e-01
15,2.6819e+04,2.2527e-01,-2.6669e-01
16,3.3625e+04,2.1853e-01,-2.1812e-01
17,4.2159e+04,2.0613e-01,-1.7053e-01
18,5.2858e+04,1.9475e-01,-1.3334e-01
19,6.6272e+04,1.9064e-01,-1.1347e-01
20,8.3091e+04,1.7988e-01,-8.4885e-02
21,1.0418e+05,1.8322e-01,-6.2225e-02
22,1.3062e+05,1.8361e-01,-3.5273e-02
23,1.6377e+05,1.7792e-01,-1.3742e-02
24,2.0533e+05,1.7630e-01,-3.9911e-03
25,2.5743e+05,1.7222e-01,1.5094e-02
26,3.2277e+05,1.7813e-01,3.3738e-02
27,4.0468e+05,1.7698e-01,5.6827e-02
28,5.0738e+05,1.7922e-01,8.0448e-02
29,6.3614e+05,1.8432e-01,1.1487e-01
30,7.9759e+05,1.8472e-01,1.4207e-01
31,1.0000e+06,1.9201e-01,1.8424e-01
32,7.9759e+05,1.9136e-01,1.3732e-01
33,6.3614e+05,1.8537e-01,1.0612e-01
34,5.0738e+05,1.8648e-01,8.2632e-02
35,4.0468e+05,1.8198e-01,5.7822e-02
36,3.2277e+05,1.7392e-01,4.1159e-02
37,2.5743e+05,1.8183e-01,1.6122e-02
38,2.0533e+05,1.7535e-01,-8.2205e-04
39,1.6377e+05,1.8075e-01,-1.4518e-02
40,1.3062e+05,1.7937e-01,-3.2185e-02
41,1.0418e+05,1.8699e-01,-5.9510e-02
42,8.3091e+04,1.8638e-01,-8.7114e-02
43,6.6272e+04,1.8683e-01,-1.1328e-01
44,5.2858e+04,1.9015e-01,-1.3819e-01
45,4.2159e+04,1.9819e-01,-1.7615e-01
46,3.3625e+04,2.0741e-01,-2.1790e-01
47,2.6819e+04,2.2640e-01,-2.6735e-01
48,2.1390e+04,2.4370e-01,-3.2770e-01
49,1.7061e+04,2.6628e-01,-4.0088e-01
50,1.3607e+04,2.9668e-01,-4.8779e-01
51,1.0853e+04,3.3718e-01,-5.9157e-01
52,8.6563e+03,3.9256e-01,-7.1609e-01
53,6.9041e+03,4.6682e-01,-8.6121e-01
54,5.5066e+03,5.6880e-01,-1.0292e+00
55,4.3920e+03,7.0677e-01,-1.2181e+00
56,3.5030e+03,8.8978e-01,-1.4232e+00
57,2.7940e+03,1.1337e+00,-1.6340e+00
58,2.2284e+03,1.4442e+00,-1.8302e+00
59,1.7774e+03,1.8162e+00,-1.9895e+00
60,1.4176e+03,2.2405e+00,-2.0839e+00
61,1.1307e+03,2.6860e+00,-2.0957e+00
62,9.0179e+02,3.1182e+00,-2.0255e+00
63,7.1926e+02,3.5075e+00,-1.8827e+00
64,5.7367e+02,3.8358e+00,-1.6935e+00
65,4.5755e+02,4.0967e+00,-1.4805e+00
66,3.6494e+02,4.2950e+00,-1.2732e+00
67,2.9107e+02,4.4428e+00,-1.0811e+00
68,2.3215e+02,4.5537e+00,-9.1213e-01
69,1.8516e+02,4.6357e+00,-7.6866e-01
70,1.4768e+02,4.6955e+00,-6.4765e-01
71,1.1779e+02,4.7373e+00,-5.4929e-01
72,9.3947e+01,4.7740e+00,-4.6507e-01
73,7.4931e+01,4.8045e+00,-4.0018e-01
74,5.9538e+01,4.8281e+00,-3.5101e-01
75,4.6991e+01,4.8501e+00,-3.1034e-01
76,3.6825e+01,4.8683e+00,-2.8035e-01
77,2.8642e+01,4.8903e+00,-2.6262e-01
78,2.2099e+01,4.9097e+00,-2.5550e-01
79,1.6907e+01,4.9374e+00,-2.5476e-01
80,1.2819e+01,4.9698e+00,-2.6868e-01
81,9.6267e+00,5.0166e+00,-2.8478e-01
82,7.1569e+00,5.0748e+00,-2.9739e-01
83,5.2641e+00,5.1475e+00,-3.1538e-01
84,3.8284e+00,5.2279e+00,-3.1290e-01
85,2.7515e+00,5.3093e+00,-2.9653e-01
86,1.9531e+00,5.3820e+00,-2.6538e-01
87,1.3686e+00,5.4414e+00,-2.3296e-01
88,9.4639e-01,5.4890e+00,-2.0018e-01
89,6.4562e-01,5.5265e+00,-1.6694e-01
90,4.3451e-01,5.5558e+00,-1.4196e-01
91,2.8857e-01,5.5777e+00,-1.2593e-01
92,1.8924e-01,5.5963e+00,-1.2177e-01
93,1.2266e-01,5.6116e+00,-1.2671e-01
94,7.8703e-02,5.6293e+00,-1.4666e-01
95,5.0090e-02,5.6587e+00,-1.8243e-01
96,3.1698e-02,5.6925e+00,-2.3947e-01
97,2.0000e-02,5.7403e+00,-3.2711e-01
