,,,
Number,Frequency/Hz,Re/Ohm,Im/Ohm
1,1.1307e+03,2.8182e+00,-2.4259e+00
2,1.4176e+03,2.3125e+00,-2.3597e+00
3,1.7774e+03,1.8502e+00,-2.2068e+00
4,2.2284e+03,1.4614e+00,-1.9944e+00
5,2.7940e+03,1.1449e+00,-1.7554e+00
6,3.5030e+03,9.0114e-01,-1.5139e+00
7,4.3920e+03,7.2277e-01,-1.2853e+00
8,5.5066e+03,5.8853e-01,-1.0807e+00
9,6.9041e+03,4.8954e-01,-9.0230e-01
10,8.6563e+03,4.1696e-01,-7.4869e-01
11,1.0853e+04,3.6308e-01,-6.1953e-01
12,1.3607e+04,3.2279e-01,-5.1101e-01
13,1.7061e+04,2.9228e-01,-4.2056e-01
14,2.1390e+04,2.6900e-01,-3.4526e-01
15,2.6819e+04,2.5078e-01,-2.8326e-01
16,3.3625e+04,2.4101e-01,-2.2493e-01
17,4.2159e+04,2.2728e-01,-1.9401e-01
18,5.2858e+04,2.1360e-01,-1.4884e-01
19,6.6272e+04,2.0361e-01,-1.2076e-01
20,8.3091e+04,2.1148e-01,-9.7177e-02
21,1.0418e+05,2.0674e-01,-7.4934e-02
22,1.3062e+05,1.9607e-01,-4.3583e-02
23,1.6377e+05,1.9508e-01,-2.5302e-02
24,2.0533e+05,1.9687e-01,-1.7762e-02
25,2.5743e+05,2.0295e-01,2.4451e-03
26,3.2277e+05,1.9226e-01,2.5423e-02
27,4.0468e+05,2.0290e-01,3.7246e-02
28,5.0738e+05,1.9523e-01,6.1648e-02
29,6.3614e+05,1.9819e-01,8.1792e-02
30,7.9759e+05,2.0254e-01,1.0899e-01
31,1.0000e+06,2.0873e-01,1.3667e-01
32,7.9759e+05,2.1245e-01,1.0402e-01
33,6.3614e+05,1.9720e-01,7.9691e-02
34,5.0738e+05,1.9503e-01,6.1315e-02
35,4.0468e+05,2.0048e-01,4.1209e-02
36,3.2277e+05,2.0200e-01,2.4914e-02
37,2.5743e+05,1.9050e-01,6.6062e-03
38,2.0533e+05,1.9579e-01,-7.9320e-03
39,1.6377e+05,1.9540e-01,-2.6278e-02
40,1.3062e+05,2.0279e-01,-4.4915e-02
41,1.0418e+05,2.0820e-01,-7.2322e-02
42,8.3091e+04,2.0505e-01,-9.9106e-02
43,6.6272e+04,2.1108e-01,-1.1345e-01
44,5.2858e+04,2.1686e-01,-1.4718e-01
45,4.2159e+04,2.3215e-01,-1.8309e-01
46,3.3625e+04,2.4469e-01,-2.2668e-01
47,2.6819e+04,2.5303e-01,-2.8399e-01
48,2.1390e+04,2.7142e-01,-3.4758e-01
49,1.7061e+04,2.9511e-01,-4.2273e-01
50,1.3607e+04,3.2602e-01,-5.1397e-01
51,1.0853e+04,3.6659e-01,-6.2285e-01
52,8.6563e+03,4.2225e-01,-7.5338e-01
53,6.9041e+03,4.9576e-01,-9.0744e-01
54,5.5066e+03,5.9573e-01,-1.0865e+00
55,4.3920e+03,7.3167e-01,-1.2921e+00
56,3.5030e+03,9.1270e-01,-1.5216e+00
57,2.7940e+03,1.1577e+00,-1.7633e+00
58,2.2284e+03,1.4763e+00,-2.0015e+00
59,1.7774e+03,1.8675e+00,-2.2132e+00
60,1.4176e+03,2.3308e+00,-2.3649e+00
61,1.1307e+03,2.8384e+00,-2.4300e+00
62,9.0179e+02,3.3499e+00,-2.3998e+00
63,7.1926e+02,3.8337e+00,-2.2748e+00
64,5.7367e+02,4.2531e+00,-2.0789e+00
65,4.5755e+02,4.5994e+00,-1.8415e+00
66,3.6494e+02,4.8673e+00,-1.5950e+00
67,2.9107e+02,5.0656e+00,-1.3612e+00
68,2.3215e+02,5.2137e+00,-1.1488e+00
69,1.8516e+02,5.3197e+00,-9.6672e-01
70,1.4768e+02,5.4016e+00,-8.1112e-01
71,1.1779e+02,5.4597e+00,-6.8360e-01
72,9.3947e+01,5.5071e+00,-5.7615e-01
73,7.4931e+01,5.5426e+00,-4.9021e-01
74,5.9538e+01,5.5687e+00,-4.2950e-01
75,4.6991e+01,5.5952e+00,-3.7411e-01
76,3.6825e+01,5.6161e+00,-3.3201e-01
77,2.8642e+01,5.6398e+00,-3.0612e-01
78,2.2099e+01,5.6607e+00,-2.9171e-01
79,1.6907e+01,5.6886e+00,-2.8759e-01
80,1.2819e+01,5.7236e+00,-3.0009e-01
81,9.6267e+00,5.7684e+00,-3.1741e-01
82,7.1569e+00,5.8313e+00,-3.3045e-01
83,5.2641e+00,5.9074e+00,-3.5485e-01
84,3.8284e+00,5.9985e+00,-3.6096e-01
85,2.7515e+00,6.0947e+00,-3.5033e-01
86,1.9531e+00,6.1832e+00,-3.1927e-01
87,1.3686e+00,6.2588e+00,-2.7907e-01
88,9.4639e-01,6.3181e+00,-2.4105e-01
89,6.4562e-01,6.3655e+00,-1.9913e-01
90,4.3451e-01,6.4004e+00,-1.6789e-01
91,2.8857e-01,6.4297e+00,-1.4758e-01
92,1.8924e-01,6.4608e+00,-1.4086e-01
93,1.2266e-01,6.4827e+00,-1.4459e-01
94,7.8703e-02,6.5029e+00,-1.6273e-01
95,5.0090e-02,6.5187e+00,-2.0125e-01
96,3.1698e-02,6.5642e+00,-2.6782e-01
97,2.0000e-02,6.6090e+00,-3.6699e-01
