,,,
Number,Frequency/Hz,Re/Ohm,Im/Ohm
1,1.1307e+03,2.7519e+00,-2.3220e+00
2,1.4176e+03,2.2643e+00,-2.2700e+00
3,1.7774e+03,1.8147e+00,-2.1339e+00
4,2.2284e+03,1.4315e+00,-1.9354e+00
5,2.7940e+03,1.1189e+00,-1.7092e+00
6,3.5030e+03,8.7827e-01,-1.4760e+00
7,4.3920e+03,6.9956e-01,-1.2552e+00
8,5.5066e+03,5.6623e-01,-1.0556e+00
9,6.9041e+03,4.6808e-01,-8.8113e-01
10,8.6563e+03,3.9580e-01,-7.3011e-01
11,1.0853e+04,3.4286e-01,-6.0350e-01
12,1.3607e+04,3.0365e-01,-4.9731e-01
13,1.7061e+04,2.7381e-01,-4.0878e-01
14,2.1390e+04,2.5174e-01,-3.3507e-01
15,2.6819e+04,2.3472e-01,-2.7438e-01
16,3.3625e+04,2.1702e-01,-2.2874e-01
17,4.2159e+04,2.0651e-01,-1.7726e-01
18,5.2858e+04,2.0864e-01,-1.4411e-01
19,6.6272e+04,2.0323e-01,-1.1325e-01
20,8.3091e+04,1.9016e-01,-8.4637e-02
21,1.0418e+05,1.8410e-01,-6.9251e-02
22,1.3062e+05,1.8128e-01,-5.3243e-02
23,1.6377e+05,1.7970e-01,-3.3492e-02
24,2.0533e+05,1.8252e-01,-1.7045e-02
25,2.5743e+05,1.7912e-01,4.2439e-03
26,3.2277e+05,1.8910e-01,2.2080e-02
27,4.0468e+05,1.8024e-01,3.3973e-02
28,5.0738e+05,1.8740e-01,4.5955e-02
29,6.3614e+05,1.9104e-01,6.6915e-02
30,7.9759e+05,2.0125e-01,9.3976e-02
31,1.0000e+06,2.0102e-01,1.1676e-01
32,7.9759e+05,1.8876e-01,9.3554e-02
33,6.3614e+05,1.9329e-01,7.2905e-02
34,5.0738e+05,1.9294e-01,4.7856e-02
35,4.0468e+05,1.8896e-01,2.9757e-02
36,3.2277e+05,1.8777e-01,1.2017e-02
37,2.5743e+05,1.8767e-01,5.6200e-03
38,2.0533e+05,1.8785e-01,-9.3909e-03
39,1.6377e+05,1.8585e-01,-3.5366e-02
40,1.3062e+05,1.8503e-01,-5.2815e-02
41,1.0418e+05,1.8788e-01,-7.2662e-02
42,8.3091e+04,1.9051e-01,-9.4945e-02
43,6.6272e+04,2.0389e-01,-1.1869e-01
44,5.2858e+04,2.0075e-01,-1.4241e-01
45,4.2159e+04,2.1753e-01,-1.7899e-01
46,3.3625e+04,2.2051e-01,-2.2996e-01
47,2.6819e+04,2.3535e-01,-2.7474e-01
48,2.1390e+04,2.5236e-01,-3.3555e-01
49,1.7061e+04,2.7491e-01,-4.0934e-01
50,1.3607e+04,3.0444e-01,-4.9815e-01
51,1.0853e+04,3.4393e-01,-6.0448e-01
52,8.6563e+03,3.9770e-01,-7.3178e-01
53,6.9041e+03,4.6947e-01,-8.8241e-01
54,5.5066e+03,5.6773e-01,-1.0572e+00
55,4.3920e+03,7.0136e-01,-1.2566e+00
56,3.5030e+03,8.8108e-01,-1.4780e+00
57,2.7940e+03,1.1225e+00,-1.7109e+00
58,2.2284e+03,1.4351e+00,-1.9374e+00
59,1.7774e+03,1.8182e+00,-2.1355e+00
60,1.4176e+03,2.2688e+00,-2.2714e+00
61,1.1307e+03,2.7569e+00,-2.3227e+00
62,9.0179e+02,3.2448e+00,-2.2815e+00
63,7.1926e+02,3.6985e+00,-2.1506e+00
64,5.7367e+02,4.0904e+00,-1.9589e+00
65,4.5755e+02,4.4115e+00,-1.7288e+00
66,3.6494e+02,4.6560e+00,-1.4948e+00
67,2.9107e+02,4.8391e+00,-1.2744e+00
68,2.3215e+02,4.9756e+00,-1.0753e+00
69,1.8516e+02,5.0766e+00,-9.0564e-01
70,1.4768e+02,5.1488e+00,-7.6044e-01
71,1.1779e+02,5.2032e+00,-6.4377e-01
72,9.3947e+01,5.2473e+00,-5.4373e-01
73,7.4931e+01,5.2819e+00,-4.6361e-01
74,5.9538e+01,5.3056e+00,-4.0409e-01
75,4.6991e+01,5.3294e+00,-3.5252e-01
76,3.6825e+01,5.3504e+00,-3.1535e-01
77,2.8642e+01,5.3730e+00,-2.9090e-01
78,2.2099e+01,5.3964e+00,-2.7855e-01
79,1.6907e+01,5.4222e+00,-2.7484e-01
80,1.2819e+01,5.4577e+00,-2.8568e-01
81,9.6267e+00,5.5023e+00,-3.0166e-01
82,7.1569e+00,5.5613e+00,-3.1510e-01
83,5.2641e+00,5.6359e+00,-3.3501e-01
84,3.8284e+00,5.7207e+00,-3.3706e-01
85,2.7515e+00,5.8088e+00,-3.2294e-01
86,1.9531e+00,5.8907e+00,-2.9159e-01
87,1.3686e+00,5.9577e+00,-2.5434e-01
88,9.4639e-01,6.0104e+00,-2.1860e-01
89,6.4562e-01,6.0528e+00,-1.8011e-01
90,4.3451e-01,6.0826e+00,-1.5123e-01
91,2.8857e-01,6.1057e+00,-1.3365e-01
92,1.8924e-01,6.1269e+00,-1.2839e-01
93,1.2266e-01,6.1502e+00,-1.3278e-01
94,7.8703e-02,6.1720e+00,-1.5181e-01
95,5.0090e-02,6.1863e+00,-1.8852e-01
96,3.1698e-02,6.2167e+00,-2.4821e-01
97,2.0000e-02,6.2717e+00,-3.3981e-01
