,,,
Number,Frequency/Hz,Re/Ohm,Im/Ohm
1,1.1307e+03,2.6204e+00,-1.9544e+00
2,1.4176e+03,2.2052e+00,-1.9606e+00
3,1.7774e+03,1.8030e+00,-1.8898e+00
4,2.2284e+03,1.4428e+00,-1.7531e+00
5,2.7940e+03,1.1378e+00,-1.5772e+00
6,3.5030e+03,8.9468e-01,-1.3828e+00
7,4.3920e+03,7.0946e-01,-1.1891e+00
8,5.5066e+03,5.6989e-01,-1.0081e+00
9,6.9041e+03,4.6661e-01,-8.4642e-01
10,8.6563e+03,3.9030e-01,-7.0368e-01
11,1.0853e+04,3.3443e-01,-5.8254e-01
12,1.3607e+04,2.9311e-01,-4.8088e-01
13,1.7061e+04,2.6291e-01,-3.9465e-01
14,2.1390e+04,2.3962e-01,-3.2261e-01
15,2.6819e+04,2.2269e-01,-2.6293e-01
16,3.3625e+04,2.1524e-01,-2.1268e-01
17,4.2159e+04,1.9809e-01,-1.6493e-01
18,5.2858e+04,1.9130e-01,-1.2991e-01
19,6.6272e+04,1.8294e-01,-9.9417e-02
20,8.3091e+04,1.7994e-01,-7.2617e-02
21,1.0418e+05,1.8148e-01,-5.0980e-02
22,1.3062e+05,1.8089e-01,-2.8586e-02
23,1.6377e+05,1.7035e-01,-1.1435e-02
24,2.0533e+05,1.7235e-01,6.5945e-03
25,2.5743e+05,1.7783e-01,3.1772e-02
26,3.2277e+05,1.7000e-01,4.9600e-02
27,4.0468e+05,1.7821e-01,7.9217e-02
28,5.0738e+05,1.8162e-01,1.0793e-01
29,6.3614e+05,1.7629e-01,1.4356e-01
30,7.9759e+05,1.8961e-01,1.7412e-01
31,1.0000e+06,1.8483e-01,2.2830e-01
32,7.9759e+05,1.8877e-01,1.7906e-01
33,6.3614e+05,1.8342e-01,1.4063e-01
34,5.0738e+05,1.7617e-01,1.0039e-01
35,4.0468e+05,1.7947e-01,7.9778e-02
36,3.2277e+05,1.7246e-01,5.2255e-02
37,2.5743e+05,1.7820e-01,2.7239e-02
38,2.0533e+05,1.7822e-01,1.1785e-02
39,1.6377e+05,1.7221e-01,-7.9758e-03
40,1.3062e+05,1.8124e-01,-3.0821e-02
41,1.0418e+05,1.7541e-01,-5.1051e-02
42,8.3091e+04,1.7776e-01,-8.0370e-02
43,6.6272e+04,1.9028e-01,-1.0021e-01
44,5.2858e+04,1.8880e-01,-1.3729e-01
45,4.2159e+04,2.0501e-01,-1.7311e-01
46,3.3625e+04,2.0896e-01,-2.1857e-01
47,2.6819e+04,2.2368e-01,-2.6340e-01
48,2.1390e+04,2.4127e-01,-3.2403e-01
49,1.7061e+04,2.6430e-01,-3.9570e-01
50,1.3607e+04,2.9526e-01,-4.8239e-01
51,1.0853e+04,3.3684e-01,-5.8469e-01
52,8.6563e+03,3.9352e-01,-7.0683e-01
53,6.9041e+03,4.6997e-01,-8.4928e-01
54,5.5066e+03,5.7418e-01,-1.0115e+00
55,4.3920e+03,7.1516e-01,-1.1925e+00
56,3.5030e+03,9.0113e-01,-1.3868e+00
57,2.7940e+03,1.1451e+00,-1.5805e+00
58,2.2284e+03,1.4507e+00,-1.7568e+00
59,1.7774e+03,1.8116e+00,-1.8924e+00
60,1.4176e+03,2.2148e+00,-1.9629e+00
61,1.1307e+03,2.6306e+00,-1.9563e+00
62,9.0179e+02,3.0260e+00,-1.8756e+00
63,7.1926e+02,3.3793e+00,-1.7340e+00
64,5.7367e+02,3.6718e+00,-1.5543e+00
65,4.5755e+02,3.9064e+00,-1.3595e+00
66,3.6494e+02,4.0834e+00,-1.1695e+00
67,2.9107e+02,4.2182e+00,-9.9968e-01
68,2.3215e+02,4.3206e+00,-8.4481e-01
69,1.8516e+02,4.3941e+00,-7.1583e-01
70,1.4768e+02,4.4513e+00,-6.0864e-01
71,1.1779e+02,4.4970e+00,-5.1941e-01
72,9.3947e+01,4.5310e+00,-4.4654e-01
73,7.4931e+01,4.5634e+00,-3.8643e-01
74,5.9538e+01,4.5866e+00,-3.4034e-01
75,4.6991e+01,4.6092e+00,-3.0375e-01
76,3.6825e+01,4.6315e+00,-2.7841e-01
77,2.8642e+01,4.6532e+00,-2.6304e-01
78,2.2099e+01,4.6770e+00,-2.5869e-01
79,1.6907e+01,4.7053e+00,-2.6225e-01
80,1.2819e+01,4.7425e+00,-2.7702e-01
81,9.6267e+00,4.7885e+00,-2.9560e-01
82,7.1569e+00,4.8514e+00,-3.1231e-01
83,5.2641e+00,4.9255e+00,-3.3185e-01
84,3.8284e+00,5.0098e+00,-3.3259e-01
85,2.7515e+00,5.0958e+00,-3.1790e-01
86,1.9531e+00,5.1757e+00,-2.9022e-01
87,1.3686e+00,5.2427e+00,-2.5770e-01
88,9.4639e-01,5.2986e+00,-2.2396e-01
89,6.4562e-01,5.3439e+00,-1.8843e-01
90,4.3451e-01,5.3782e+00,-1.5994e-01
91,2.8857e-01,5.4044e+00,-1.4081e-01
92,1.8924e-01,5.4259e+00,-1.3458e-01
93,1.2266e-01,5.4469e+00,-1.3734e-01
94,7.8703e-02,5.4661e+00,-1.5670e-01
95,5.0090e-02,5.4858e+00,-1.9289e-01
96,3.1698e-02,5.5230e+00,-2.5564e-01
97,2.0000e-02,5.5836e+00,-3.4505e-01
