,,,
Number,Frequency/Hz,Re/Ohm,Im/Ohm
1,1.1307e+03,2.5170e+00,-1.6696e+00
2,1.4176e+03,2.1635e+00,-1.7156e+00
3,1.7774e+03,1.8042e+00,-1.6938e+00
4,2.2284e+03,1.4688e+00,-1.6081e+00
5,2.7940e+03,1.1714e+00,-1.4763e+00
6,3.5030e+03,9.2593e-01,-1.3158e+00
7,4.3920e+03,7.3521e-01,-1.1454e+00
8,5.5066e+03,5.8776e-01,-9.8039e-01
9,6.9041e+03,4.7671e-01,-8.2888e-01
10,8.6563e+03,3.9460e-01,-6.9268e-01
11,1.0853e+04,3.3449e-01,-5.7579e-01
12,1.3607e+04,2.9036e-01,-4.7602e-01
13,1.7061e+04,2.5768e-01,-3.9123e-01
14,2.1390e+04,2.3373e-01,-3.2059e-01
15,2.6819e+04,2.1619e-01,-2.6146e-01
16,3.3625e+04,2.0356e-01,-2.1655e-01
17,4.2159e+04,1.9351e-01,-1.7483e-01
18,5.2858e+04,1.8467e-01,-1.4004e-01
19,6.6272e+04,1.8224e-01,-1.0982e-01
20,8.3091e+04,1.7181e-01,-7.8163e-02
21,1.0418e+05,1.6807e-01,-5.9062e-02
22,1.3062e+05,1.6715e-01,-4.2450e-02
23,1.6377e+05,1.6913e-01,-2.3185e-02
24,2.0533e+05,1.6527e-01,-4.9508e-03
25,2.5743e+05,1.6825e-01,1.9330e-02
26,3.2277e+05,1.6803e-01,3.7154e-02
27,4.0468e+05,1.6541e-01,5.0068e-02
28,5.0738e+05,1.6846e-01,7.6177e-02
29,6.3614e+05,1.6912e-01,9.9785e-02
30,7.9759e+05,1.7583e-01,1.3029e-01
31,1.0000e+06,1.8112e-01,1.5721e-01
32,7.9759e+05,1.7384e-01,1.2639e-01
33,6.3614e+05,1.7190e-01,1.0139e-01
34,5.0738e+05,1.6597e-01,7.4881e-02
35,4.0468e+05,1.6582e-01,4.7508e-02
36,3.2277e+05,1.7047e-01,3.5331e-02
37,2.5743e+05,1.7157e-01,1.8599e-02
38,2.0533e+05,1.6314e-01,-4.7751e-03
39,1.6377e+05,1.7165e-01,-2.1435e-02
40,1.3062e+05,1.7174e-01,-3.7385e-02
41,1.0418e+05,1.7473e-01,-6.0906e-02
42,8.3091e+04,1.7888e-01,-8.0083e-02
43,6.6272e+04,1.8411e-01,-1.0747e-01
44,5.2858e+04,1.8634e-01,-1.4010e-01
45,4.2159e+04,1.9262e-01,-1.6589e-01
46,3.3625e+04,1.9833e-01,-2.1559e-01
47,2.6819e+04,2.1642e-01,-2.6194e-01
48,2.1390e+04,2.3457e-01,-3.2107e-01
49,1.7061e+04,2.5887e-01,-3.9207e-01
50,1.3607e+04,2.9107e-01,-4.7656e-01
51,1.0853e+04,3.3569e-01,-5.7659e-01
52,8.6563e+03,3.9613e-01,-6.9374e-01
53,6.9041e+03,4.7872e-01,-8.3005e-01
54,5.5066e+03,5.8938e-01,-9.8191e-01
55,4.3920e+03,7.3748e-01,-1.1472e+00
56,3.5030e+03,9.2853e-01,-1.3177e+00
57,2.7940e+03,1.1747e+00,-1.4777e+00
58,2.2284e+03,1.4724e+00,-1.6098e+00
59,1.7774e+03,1.8078e+00,-1.6957e+00
60,1.4176e+03,2.1677e+00,-1.7171e+00
61,1.1307e+03,2.5221e+00,-1.6716e+00
62,9.0179e+02,2.8439e+00,-1.5706e+00
63,7.1926e+02,3.1212e+00,-1.4281e+00
64,5.7367e+02,3.3461e+00,-1.2657e+00
65,4.5755e+02,3.5246e+00,-1.0978e+00
66,3.6494e+02,3.6578e+00,-9.4104e-01
67,2.9107e+02,3.7588e+00,-8.0377e-01
68,2.3215e+02,3.8381e+00,-6.8295e-01
69,1.8516e+02,3.8959e+00,-5.8050e-01
70,1.4768e+02,3.9417e+00,-4.9394e-01
71,1.1779e+02,3.9765e+00,-4.2756e-01
72,9.3947e+01,4.0064e+00,-3.6843e-01
73,7.4931e+01,4.0319e+00,-3.2246e-01
74,5.9538e+01,4.0522e+00,-2.9225e-01
75,4.6991e+01,4.0748e+00,-2.6370e-01
76,3.6825e+01,4.0941e+00,-2.4454e-01
77,2.8642e+01,4.1163e+00,-2.3588e-01
78,2.2099e+01,4.1419e+00,-2.3228e-01
79,1.6907e+01,4.1725e+00,-2.3481e-01
80,1.2819e+01,4.2123e+00,-2.4188e-01
81,9.6267e+00,4.2608e+00,-2.4519e-01
82,7.1569e+00,4.3163e+00,-2.3466e-01
83,5.2641e+00,4.3722e+00,-2.3140e-01
84,3.8284e+00,4.4243e+00,-2.1246e-01
85,2.7515e+00,4.4703e+00,-1.8780e-01
86,1.9531e+00,4.5095e+00,-1.6279e-01
87,1.3686e+00,4.5407e+00,-1.4002e-01
88,9.4639e-01,4.5674e+00,-1.2581e-01
89,6.4562e-01,4.5909e+00,-1.0879e-01
90,4.3451e-01,4.6101e+00,-9.8369e-02
91,2.8857e-01,4.6269e+00,-9.5830e-02
92,1.8924e-01,4.6499e+00,-1.0192e-01
93,1.2266e-01,4.6680e+00,-1.1560e-01
94,7.8703e-02,4.6873e+00,-1.4121e-01
95,5.0090e-02,4.7134e+00,-1.8367e-01
96,3.1698e-02,4.7484e+00,-2.4751e-01
97,2.0000e-02,4.8037e+00,-3.3709e-01
