,,,
Number,Frequency/Hz,Re/Ohm,Im/Ohm
1,1.1307e+03,2.6988e+00,-2.1955e+00
2,1.4176e+03,2.2336e+00,-2.1641e+00
3,1.7774e+03,1.7979e+00,-2.0496e+00
4,2.2284e+03,1.4229e+00,-1.8710e+00
5,2.7940e+03,1.1141e+00,-1.6596e+00
6,3.5030e+03,8.7277e-01,-1.4387e+00
7,4.3920e+03,6.9408e-01,-1.2260e+00
8,5.5066e+03,5.6049e-01,-1.0329e+00
9,6.9041e+03,4.6256e-01,-8.6314e-01
10,8.6563e+03,3.8975e-01,-7.1560e-01
11,1.0853e+04,3.3667e-01,-5.9175e-01
12,1.3607e+04,2.9787e-01,-4.8757e-01
13,1.7061e+04,2.6846e-01,-4.0061e-01
14,2.1390e+04,2.4636e-01,-3.2829e-01
15,2.6819e+04,2.2937e-01,-2.6862e-01
16,3.3625e+04,2.1602e-01,-2.2432e-01
17,4.2159e+04,2.0068e-01,-1.7671e-01
18,5.2858e+04,1.9998e-01,-1.3775e-01
19,6.6272e+04,1.9092e-01,-1.1819e-01
20,8.3091e+04,1.9303e-01,-8.7164e-02
21,1.0418e+05,1.8406e-01,-5.9604e-02
22,1.3062e+05,1.7849e-01,-3.9096e-02
23,1.6377e+05,1.8142e-01,-2.3912e-02
24,2.0533e+05,1.7802e-01,-6.6537e-03
25,2.5743e+05,1.7455e-01,7.3978e-03
26,3.2277e+05,1.7613e-01,2.6020e-02
27,4.0468e+05,1.8511e-01,3.9619e-02
28,5.0738e+05,1.8719e-01,5.6759e-02
29,6.3614e+05,1.8943e-01,8.2399e-02
30,7.9759e+05,1.9484e-01,1.0555e-01
31,1.0000e+06,1.8592e-01,1.3276e-01
32,7.9759e+05,1.9158e-01,1.0156e-01
33,6.3614e+05,1.8208e-01,7.8348e-02
34,5.0738e+05,1.7756e-01,6.0602e-02
35,4.0468e+05,1.8365e-01,4.2612e-02
36,3.2277e+05,1.7707e-01,2.7595e-02
37,2.5743e+05,1.7446e-01,5.2414e-03
38,2.0533e+05,1.7487e-01,-8.8172e-03
39,1.6377e+05,1.7506e-01,-2.6304e-02
40,1.3062e+05,1.7988e-01,-5.0127e-02
41,1.0418e+05,1.8703e-01,-6.1346e-02
42,8.3091e+04,1.9171e-01,-9.0334e-02
43,6.6272e+04,1.9813e-01,-1.0903e-01
44,5.2858e+04,1.9772e-01,-1.3672e-01
45,4.2159e+04,2.1078e-01,-1.8025e-01
46,3.3625e+04,2.2146e-01,-2.2280e-01
47,2.6819e+04,2.2963e-01,-2.6884e-01
48,2.1390e+04,2.4659e-01,-3.2912e-01
49,1.7061e+04,2.6903e-01,-4.0110e-01
50,1.3607e+04,2.9859e-01,-4.8844e-01
51,1.0853e+04,3.3773e-01,-5.9252e-01
52,8.6563e+03,3.9129e-01,-7.1733e-01
53,6.9041e+03,4.6374e-01,-8.6412e-01
54,5.5066e+03,5.6187e-01,-1.0339e+00
55,4.3920e+03,6.9645e-01,-1.2272e+00
56,3.5030e+03,8.7557e-01,-1.4400e+00
57,2.7940e+03,1.1165e+00,-1.6612e+00
58,2.2284e+03,1.4261e+00,-1.8723e+00
59,1.7774e+03,1.8015e+00,-2.0502e+00
60,1.4176e+03,2.2371e+00,-2.1650e+00
61,1.1307e+03,2.7028e+00,-2.1958e+00
62,9.0179e+02,3.1607e+00,-2.1394e+00
63,7.1926e+02,3.5805e+00,-2.0019e+00
64,5.7367e+02,3.9363e+00,-1.8105e+00
65,4.5755e+02,4.2251e+00,-1.5900e+00
66,3.6494e+02,4.4447e+00,-1.3686e+00
67,2.9107e+02,4.6065e+00,-1.1651e+00
68,2.3215e+02,4.7281e+00,-9.8042e-01
69,1.8516e+02,4.8169e+00,-8.2411e-01
70,1.4768e+02,4.8823e+00,-6.9247e-01
71,1.1779e+02,4.9297e+00,-5.8539e-01
72,9.3947e+01,4.9690e+00,-4.9546e-01
73,7.4931e+01,4.9982e+00,-4.2184e-01
74,5.9538e+01,5.0209e+00,-3.7017e-01
75,4.6991e+01,5.0443e+00,-3.2533e-01
76,3.6825e+01,5.0634e+00,-2.9136e-01
77,2.8642e+01,5.0835e+00,-2.7148e-01
78,2.2099e+01,5.1065e+00,-2.6082e-01
79,1.6907e+01,5.1328e+00,-2.5886e-01
80,1.2819e+01,5.1679e+00,-2.6807e-01
81,9.6267e+00,5.2129e+00,-2.8030e-01
82,7.1569e+00,5.2721e+00,-2.8634e-01
83,5.2641e+00,5.3416e+00,-2.9789e-01
84,3.8284e+00,5.4154e+00,-2.9256e-01
85,2.7515e+00,5.4875e+00,-2.7170e-01
86,1.9531e+00,5.5510e+00,-2.4182e-01
87,1.3686e+00,5.6038e+00,-2.1052e-01
88,9.4639e-01,5.6457e+00,-1.8063e-01
89,6.4562e-01,5.6793e+00,-1.5108e-01
90,4.3451e-01,5.7070e+00,-1.2992e-01
91,2.8857e-01,5.7280e+00,-1.1624e-01
92,1.8924e-01,5.7448e+00,-1.1520e-01
93,1.2266e-01,5.7575e+00,-1.2205e-01
94,7.8703e-02,5.7636e+00,-1.4163e-01
95,5.0090e-02,5.7801e+00,-1.7909e-01
96,3.1698e-02,5.8182e+00,-2.3884e-01
97,2.0000e-02,5.8695e+00,-3.2765e-01
